Ingredient List,Allergens
"hazelnut spread, artificial sweeteners, pollock","['Fish', 'Tree Nuts']"
"palm oil, lobster meat, high-fructose corn syrup",['Shellfish']
"egg whites, walnut pieces, natural flavors, peanut flour","['Peanuts', 'Tree Nuts', 'Eggs']"
"walnut pieces, lecithin, lobster meat, natural flavors","['Shellfish', 'Tree Nuts']"
"natural flavors, palm oil, natural flavors, ground peanuts","['Peanuts', 'General Allergen']"
"dried egg yolk, lecithin, modified corn starch",['Eggs']
"peanut oil, palm oil, casein, lecithin, rye bread","['Peanuts', 'Milk', 'Gluten']"
"palm oil, lobster meat, natural flavors",['Shellfish']
"walnut pieces, modified corn starch, artificial sweeteners",['Tree Nuts']
"artificial flavors, almond extract, modified corn starch","['Tree Nuts', 'General Allergen']"
"pollock, palm oil",['Fish']
"palm oil, peanut flour, shrimp extract, fish sauce","['Shellfish', 'Fish', 'Peanuts']"
"modified corn starch, whole eggs",['Eggs']
"barley malt, egg whites, ground peanuts, palm oil","['Peanuts', 'Gluten', 'Eggs']"
"artificial flavors, soybean oil, natural flavors, almond extract","['Soy', 'Tree Nuts', 'General Allergen']"
"barley malt, soybean oil, palm oil, natural flavors","['Gluten', 'Soy']"
"lecithin, milk solids, anchovy paste","['Milk', 'Fish']"
"whey protein isolate, soybean oil, artificial sweeteners, peanut oil","['Peanuts', 'Milk', 'Soy']"
"egg whites, hydrolyzed soy protein, lecithin, natural flavors, walnut pieces","['Eggs', 'Soy', 'Tree Nuts']"
"high-fructose corn syrup, fish sauce, walnut pieces, modified corn starch, peanut flour","['Peanuts', 'Fish', 'Tree Nuts']"
"palm oil, walnut pieces, modified corn starch",['Tree Nuts']
"modified corn starch, walnut pieces, artificial sweeteners",['Tree Nuts']
"modified corn starch, soybean oil, peanut oil","['Peanuts', 'Soy']"
"soy lecithin, pollock, whole eggs, high-fructose corn syrup","['Fish', 'Soy', 'Eggs']"
"walnut pieces, modified corn starch",['Tree Nuts']
"lecithin, casein, palm oil",['Milk']
"natural flavors, peanut flour, palm oil, calcium caseinate","['Peanuts', 'Milk']"
"artificial sweeteners, crab flavoring, hydrolyzed soy protein","['Shellfish', 'Soy']"
"casein, ground peanuts, lecithin, natural flavors","['Peanuts', 'Milk']"
"natural flavors, natural flavors, dried egg yolk, modified corn starch, soy lecithin","['Soy', 'Eggs', 'General Allergen']"
"modified corn starch, natural flavors, egg whites",['Eggs']
"almond extract, modified corn starch",['Tree Nuts']
"pollock, lecithin, egg whites","['Fish', 'Eggs']"
"milk solids, modified corn starch, palm oil",['Milk']
"hydrolyzed soy protein, lecithin",['Soy']
"natural flavors, hazelnut spread, lobster meat, peanut flour","['Peanuts', 'Shellfish', 'Tree Nuts']"
"dried egg yolk, lobster meat, artificial sweeteners, pollock","['Shellfish', 'Fish', 'Eggs']"
"lecithin, anchovy paste, almond extract","['Fish', 'Tree Nuts']"
"walnut pieces, natural flavors, peanut flour, whey protein isolate, artificial sweeteners","['Peanuts', 'Milk', 'Tree Nuts']"
"natural flavors, palm oil, barley malt",['Gluten']
"pollock, artificial sweeteners, walnut pieces, barley malt","['Gluten', 'Fish', 'Tree Nuts']"
"modified corn starch, lecithin, ground peanuts",['Peanuts']
"almond extract, shrimp extract, natural flavors","['Shellfish', 'Tree Nuts']"
"natural flavors, peanut oil, lecithin",['Peanuts']
"artificial sweeteners, hydrolyzed soy protein, calcium caseinate","['Milk', 'Soy']"
"shrimp extract, modified corn starch",['Shellfish']
"egg whites, natural flavors, artificial sweeteners","['Eggs', 'General Allergen']"
"peanut oil, barley malt, lecithin, high-fructose corn syrup, dried egg yolk","['Peanuts', 'Gluten', 'Eggs']"
"calcium caseinate, modified corn starch, palm oil",['Milk']
"modified corn starch, fish sauce, shrimp extract, soy lecithin","['Shellfish', 'Fish', 'Soy']"
"peanut oil, artificial sweeteners, modified corn starch",['Peanuts']
"ground peanuts, whey protein isolate, natural flavors, almond extract","['Peanuts', 'Milk', 'Tree Nuts']"
"soy lecithin, palm oil, lecithin",['Soy']
"high-fructose corn syrup, milk solids",['Milk']
"artificial sweeteners, peanut flour",['Peanuts']
"lecithin, peanut oil, palm oil, caramel coloring, crab flavoring","['Peanuts', 'Shellfish', 'General Allergen']"
"palm oil, artificial sweeteners, walnut pieces",['Tree Nuts']
"peanut oil, artificial sweeteners",['Peanuts']
"lecithin, rye bread",['Gluten']
"wheat flour, modified corn starch",['Gluten']
"lobster meat, whole eggs, hydrolyzed soy protein, natural flavors, lecithin","['Shellfish', 'Soy', 'Eggs']"
"artificial sweeteners, hazelnut spread, palm oil",['Tree Nuts']
"almond extract, anchovy paste, lecithin, casein","['Milk', 'Fish', 'Tree Nuts']"
"artificial sweeteners, artificial flavors, egg whites, soy lecithin","['Soy', 'Eggs', 'General Allergen']"
"natural flavors, high-fructose corn syrup, dried egg yolk, barley malt","['Gluten', 'Eggs']"
"caramel coloring, modified corn starch, artificial sweeteners",['General Allergen']
"fish sauce, soy lecithin, artificial sweeteners, high-fructose corn syrup","['Fish', 'Soy']"
"soybean oil, crab flavoring, whole eggs, artificial sweeteners, natural flavors","['Shellfish', 'Soy', 'Eggs']"
"egg whites, lecithin",['Eggs']
"natural flavors, rye bread",['Gluten']
"shrimp extract, high-fructose corn syrup, peanut oil, rye bread, modified corn starch","['Peanuts', 'Gluten', 'Shellfish']"
"caramel coloring, palm oil",['General Allergen']
"whey protein isolate, pollock, hydrolyzed soy protein, high-fructose corn syrup","['Milk', 'Fish', 'Soy']"
"artificial flavors, artificial sweeteners, whole eggs, modified corn starch","['Eggs', 'General Allergen']"
"high-fructose corn syrup, calcium caseinate, modified corn starch, dried egg yolk, wheat flour","['Milk', 'Eggs', 'Gluten']"
"almond extract, high-fructose corn syrup, artificial sweeteners",['Tree Nuts']
"lobster meat, fish sauce, walnut pieces, palm oil","['Shellfish', 'Fish', 'Tree Nuts']"
"natural flavors, artificial sweeteners, palm oil, rye bread","['Gluten', 'General Allergen']"
"modified corn starch, palm oil, egg whites, walnut pieces, peanut flour","['Peanuts', 'Eggs', 'Tree Nuts']"
"shrimp extract, casein, modified corn starch, natural flavors","['Shellfish', 'Milk']"
"barley malt, anchovy paste, hydrolyzed soy protein, modified corn starch","['Gluten', 'Fish', 'Soy']"
"modified corn starch, lecithin, walnut pieces, hydrolyzed soy protein, shrimp extract","['Shellfish', 'Soy', 'Tree Nuts']"
"lecithin, lobster meat, barley malt","['Shellfish', 'Gluten']"
"shrimp extract, modified corn starch",['Shellfish']
"rye bread, artificial sweeteners, natural flavors, calcium caseinate, caramel coloring","['Milk', 'Gluten', 'General Allergen']"
"natural flavors, milk solids, hydrolyzed soy protein, lecithin","['Milk', 'Soy']"
"palm oil, lobster meat, high-fructose corn syrup, ground peanuts","['Peanuts', 'Shellfish']"
"artificial sweeteners, ground peanuts, hydrolyzed soy protein","['Peanuts', 'Soy']"
"walnut pieces, peanut oil, artificial sweeteners, high-fructose corn syrup","['Peanuts', 'Tree Nuts']"
"hazelnut spread, artificial sweeteners, natural flavors, lecithin","['Tree Nuts', 'General Allergen']"
"artificial sweeteners, shrimp extract",['Shellfish']
"high-fructose corn syrup, almond extract",['Tree Nuts']
"peanut oil, natural flavors, artificial sweeteners, hydrolyzed soy protein","['Peanuts', 'Soy']"
"anchovy paste, natural flavors, dried egg yolk, caramel coloring","['Fish', 'Eggs', 'General Allergen']"
"soybean oil, lecithin, whole eggs, almond extract","['Eggs', 'Soy', 'Tree Nuts']"
"lecithin, modified corn starch, casein",['Milk']
"caramel coloring, high-fructose corn syrup, modified corn starch, peanut oil","['Peanuts', 'General Allergen']"
"modified corn starch, anchovy paste, natural flavors, casein, crab flavoring","['Shellfish', 'Milk', 'Fish']"
"modified corn starch, dried egg yolk, artificial flavors, high-fructose corn syrup, almond extract","['Tree Nuts', 'Eggs', 'General Allergen']"
"artificial sweeteners, pollock, dried egg yolk, milk solids","['Milk', 'Fish', 'Eggs']"
"artificial sweeteners, milk solids, hazelnut spread","['Milk', 'Tree Nuts']"
"pollock, natural flavors, soy lecithin","['Fish', 'Soy']"
"artificial sweeteners, lobster meat, egg whites, peanut oil","['Peanuts', 'Shellfish', 'Eggs']"
"modified corn starch, peanut oil",['Peanuts']
"lecithin, artificial flavors, palm oil, pollock","['Fish', 'General Allergen']"
"artificial sweeteners, xanthan gum, egg whites","['Eggs', 'General Allergen']"
"lobster meat, walnut pieces, palm oil, artificial sweeteners, xanthan gum","['Shellfish', 'Tree Nuts', 'General Allergen']"
"hydrolyzed soy protein, high-fructose corn syrup, egg whites","['Soy', 'Eggs']"
"natural flavors, ground peanuts, high-fructose corn syrup",['Peanuts']
"natural flavors, ground peanuts, hazelnut spread, soybean oil, palm oil","['Peanuts', 'Soy', 'Tree Nuts']"
"hydrolyzed soy protein, high-fructose corn syrup, anchovy paste","['Fish', 'Soy']"
"artificial sweeteners, casein, wheat flour","['Gluten', 'Milk']"
"crab flavoring, lecithin",['Shellfish']
"barley malt, palm oil, peanut flour, fish sauce","['Peanuts', 'Gluten', 'Fish']"
"milk solids, high-fructose corn syrup, artificial sweeteners",['Milk']
"shrimp extract, natural flavors, modified corn starch",['Shellfish']
"wheat flour, lecithin, whole eggs","['Gluten', 'Eggs']"
"modified corn starch, pollock, soybean oil, whole eggs","['Fish', 'Soy', 'Eggs']"
"natural flavors, walnut pieces",['Tree Nuts']
"high-fructose corn syrup, walnut pieces, hydrolyzed soy protein, modified corn starch","['Soy', 'Tree Nuts']"
"high-fructose corn syrup, dried egg yolk, artificial flavors","['Eggs', 'General Allergen']"
"fish sauce, modified corn starch, egg whites","['Fish', 'Eggs']"
"whey protein isolate, lecithin, palm oil, soy lecithin","['Milk', 'Soy']"
"artificial sweeteners, casein, shrimp extract, peanut oil, high-fructose corn syrup","['Shellfish', 'Milk', 'Peanuts']"
"walnut pieces, modified corn starch",['Tree Nuts']
"casein, natural flavors",['Milk']
"modified corn starch, anchovy paste, xanthan gum, natural flavors","['Fish', 'General Allergen']"
"walnut pieces, artificial sweeteners",['Tree Nuts']
"palm oil, calcium caseinate, rye bread, high-fructose corn syrup","['Milk', 'Gluten']"
"natural flavors, soy lecithin, dried egg yolk","['Soy', 'Eggs']"
"shrimp extract, modified corn starch, high-fructose corn syrup, hazelnut spread","['Shellfish', 'Tree Nuts']"
"pollock, peanut oil, palm oil","['Peanuts', 'Fish']"
"palm oil, soy lecithin, high-fructose corn syrup, rye bread","['Gluten', 'Soy']"
"modified corn starch, lecithin, dried egg yolk",['Eggs']
"peanut flour, natural flavors, palm oil",['Peanuts']
"ground peanuts, crab flavoring, natural flavors, artificial sweeteners, milk solids","['Shellfish', 'Milk', 'Peanuts']"
"artificial flavors, palm oil, high-fructose corn syrup",['General Allergen']
"anchovy paste, ground peanuts, artificial sweeteners, high-fructose corn syrup, crab flavoring","['Shellfish', 'Fish', 'Peanuts']"
"lecithin, egg whites, modified corn starch",['Eggs']
"ground peanuts, palm oil",['Peanuts']
"soybean oil, egg whites, palm oil","['Soy', 'Eggs']"
"lecithin, hydrolyzed soy protein",['Soy']
"modified corn starch, walnut pieces",['Tree Nuts']
"palm oil, soybean oil, hazelnut spread","['Soy', 'Tree Nuts']"
"modified corn starch, natural flavors, rye bread",['Gluten']
"palm oil, whey protein isolate, peanut oil, soy lecithin","['Peanuts', 'Milk', 'Soy']"
"peanut flour, high-fructose corn syrup",['Peanuts']
"shrimp extract, natural flavors, lecithin",['Shellfish']
"artificial sweeteners, soy lecithin",['Soy']
"natural flavors, natural flavors, casein, lecithin, shrimp extract","['Shellfish', 'Milk', 'General Allergen']"
